date,fx_vol
2000-01-01,11.968991473672286
2000-02-01,11.316383930468637
2000-03-01,13.085617813045902
2000-04-01,9.182323068524546
2000-05-01,13.879696477604812
2000-06-01,15.118478123347137
2000-07-01,11.502253050506832
2000-08-01,12.963590681596948
2000-09-01,14.945307705720966
2000-10-01,16.268010156869668
2000-11-01,14.585725898995776
2000-12-01,14.245513732183577
2001-01-01,13.997946613267395
2001-02-01,13.775863390204119
2001-03-01,11.966826843942
2001-04-01,13.233802471723504
2001-05-01,10.846008825327432
2001-06-01,10.15844312685888
2001-07-01,11.776251219003292
2001-08-01,10.262088181722543
2001-09-01,12.710982320445577
2001-10-01,9.416913294464553
2001-11-01,8.600865926766263
2001-12-01,6.731396676985755
2002-01-01,12.227391465854028
2002-02-01,8.188999431376269
2002-03-01,6.814540053780556
2002-04-01,5.854915273385028
2002-05-01,7.042723318957534
2002-06-01,9.775492275695516
2002-07-01,14.486660516112744
2002-08-01,12.620688024532312
2002-09-01,9.014029377728662
2002-10-01,7.598011894086329
2002-11-01,8.586157453199347
2002-12-01,8.905904912310008
2003-01-01,8.786541164334007
2003-02-01,10.12206888388717
2003-03-01,10.639302314417924
2003-04-01,12.048323685541853
2003-05-01,10.412062463499137
2003-06-01,10.398296143806753
2003-07-01,9.286668210609555
2003-08-01,10.233038714861685
2003-09-01,11.050710455432565
2003-10-01,11.260675755501405
2003-11-01,8.831854647101057
2003-12-01,8.264589610585551
2004-01-01,9.705877825809328
2004-02-01,11.869925763917347
2004-03-01,12.149184974558251
2004-04-01,10.894936378951076
2004-05-01,11.654015896896484
2004-06-01,9.600712480562132
2004-07-01,6.397540072839875
2004-08-01,8.07855962813809
2004-09-01,8.344441936413618
2004-10-01,8.43783482685676
2004-11-01,7.2432745935126865
2004-12-01,7.677026258300082
2005-01-01,9.555534764803339
2005-02-01,7.656489218954131
2005-03-01,8.112353571158568
2005-04-01,8.32160208608104
2005-05-01,8.213184023811806
2005-06-01,8.386319320660734
2005-07-01,10.562530668429472
2005-08-01,8.719186623836642
2005-09-01,9.58992991098847
2005-10-01,7.967362008968259
2005-11-01,8.31613429417271
2005-12-01,8.049038888749047
2006-01-01,9.225730405100466
2006-02-01,7.642191013728197
2006-03-01,7.346129138954908
2006-04-01,9.497122013432296
2006-05-01,9.634819388658354
2006-06-01,9.784898742641102
2006-07-01,8.610061027259071
2006-08-01,8.390285694443165
2006-09-01,5.95135050935654
2006-10-01,5.603999623932517
2006-11-01,5.169425804081035
2006-12-01,6.233400634670419
2007-01-01,6.764853287815683
2007-02-01,5.9067170554675545
2007-03-01,5.211725402612561
2007-04-01,4.636009150137177
2007-05-01,4.765097881792115
2007-06-01,5.556697471715408
2007-07-01,4.463374242140976
2007-08-01,6.181483678297322
2007-09-01,6.165564666107214
2007-10-01,6.348812247524885
2007-11-01,7.309555588492684
2007-12-01,8.416876612136678
2008-01-01,8.745007997149294
2008-02-01,7.945291522720696
2008-03-01,8.438934035971863
2008-04-01,11.043629466935874
2008-05-01,8.074693486935228
2008-06-01,10.159684792375458
2008-07-01,9.071230169297866
2008-08-01,10.21337660380531
2008-09-01,13.575171864823888
2008-10-01,17.20454435695998
2008-11-01,18.72087325652044
2008-12-01,18.823255348474397
2009-01-01,26.283344518934314
2009-02-01,16.77077288893838
2009-03-01,15.253065636632241
2009-04-01,17.856845968483263
2009-05-01,13.53996454668238
2009-06-01,13.535180571698106
2009-07-01,10.030748279710478
2009-08-01,9.578903993513029
2009-09-01,8.63486525165866
2009-10-01,7.238457608327995
2009-11-01,8.378906714652619
2009-12-01,10.499778082740736
2010-01-01,10.082752687722218
2010-02-01,8.9811385817649
2010-03-01,9.208970781227162
2010-04-01,9.411947269544495
2010-05-01,13.438375557578173
2010-06-01,13.754495841575697
2010-07-01,10.728273498954254
2010-08-01,10.257180971615922
2010-09-01,9.104814814718658
2010-10-01,10.23848110329748
2010-11-01,12.76426592052087
2010-12-01,11.43577307789146
2011-01-01,11.877738909855902
2011-02-01,8.32975357048135
2011-03-01,8.086224066032232
2011-04-01,9.12603763509939
2011-05-01,12.49792927130511
2011-06-01,11.484529915714585
2011-07-01,11.666514945337106
2011-08-01,12.697438889552117
2011-09-01,10.24311014110222
2011-10-01,12.833104089919678
2011-11-01,14.130343001660812
2011-12-01,9.580682588554003
2012-01-01,9.405151723396939
2012-02-01,10.836183649565028
2012-03-01,9.267538187196958
2012-04-01,8.14124134606706
2012-05-01,6.843791618785743
2012-06-01,8.70401458880628
2012-07-01,9.043091009028338
2012-08-01,9.20253797979435
2012-09-01,7.208587983172845
2012-10-01,7.018390035898534
2012-11-01,6.682709178231324
2012-12-01,7.188303574113993
2013-01-01,8.822227132755176
2013-02-01,8.887215891727456
2013-03-01,10.770213754903553
2013-04-01,8.074113886843973
2013-05-01,8.045298069927604
2013-06-01,7.03296992455917
2013-07-01,9.14418292279972
2013-08-01,5.753247777985112
2013-09-01,5.927674286067568
2013-10-01,6.058702345928333
2013-11-01,7.232861164400542
2013-12-01,4.967790271038919
2014-01-01,6.192798426063044
2014-02-01,5.641533976773395
2014-03-01,7.222391523380031
2014-04-01,4.942986444133642
2014-05-01,5.3683350963092265
2014-06-01,4.209818036111188
2014-07-01,3.3621511511255844
2014-08-01,3.0824132017943207
2014-09-01,5.099585502535959
2014-10-01,7.531875187410985
2014-11-01,7.845359515483416
2014-12-01,7.763660460783567
2015-01-01,9.72653914427689
2015-02-01,12.953001213163622
2015-03-01,9.403528304046818
2015-04-01,12.041384335709903
2015-05-01,13.92633573924913
2015-06-01,13.206020191224633
2015-07-01,10.727322147912542
2015-08-01,10.263679820113206
2015-09-01,11.212549759674102
2015-10-01,9.687902639926909
2015-11-01,9.408812485845791
2015-12-01,9.514389638915343
2016-01-01,8.594489727272322
2016-02-01,11.12582155537294
2016-03-01,11.554780960041645
2016-04-01,9.698237582469854
2016-05-01,6.635086293644587
2016-06-01,8.785443292178623
2016-07-01,10.69324798874086
2016-08-01,6.9485341866396855
2016-09-01,6.916661090616516
2016-10-01,6.648695439062552
2016-11-01,7.316595600744793
2016-12-01,9.889106054028135
2017-01-01,11.244904272606354
2017-02-01,8.479452671410773
2017-03-01,6.700927097466434
2017-04-01,7.190707919371079
2017-05-01,6.564726589403827
2017-06-01,4.987190938248127
2017-07-01,6.271816013166618
2017-08-01,6.984064616386547
2017-09-01,9.149080153561936
2017-10-01,7.12958202522639
2017-11-01,7.272502466407053
2017-12-01,6.789171996344174
2018-01-01,6.932764482970803
2018-02-01,7.565017865943744
2018-03-01,8.287391343210095
2018-04-01,5.7406642448892535
2018-05-01,6.211367924936701
2018-06-01,8.634319243022983
2018-07-01,7.8941076992904895
2018-08-01,8.15006156433873
2018-09-01,6.836524643371466
2018-10-01,6.671147430949845
2018-11-01,7.077011982124753
2018-12-01,6.8980698026132385
2019-01-01,6.155769042832845
2019-02-01,4.756497903109138
2019-03-01,4.604976406288425
2019-04-01,4.695333778555382
2019-05-01,4.978884001812133
2019-06-01,4.373615861952359
2019-07-01,4.893365963018729
2019-08-01,6.042393937269295
2019-09-01,6.333355089355415
2019-10-01,5.092717005963256
2019-11-01,4.176316779819682
2019-12-01,4.119665258434749
2020-01-01,5.185463484139415
2020-02-01,3.8190904748532666
2020-03-01,10.876837471011054
2020-04-01,10.919780340995377
2020-05-01,7.921505443828451
2020-06-01,7.951243082810035
2020-07-01,8.510785910656297
2020-08-01,8.625523231641214
2020-09-01,7.384300421627618
2020-10-01,4.868979259523632
2020-11-01,6.58386521175552
2020-12-01,5.53228294247582
2021-01-01,5.82426999084111
2021-02-01,5.2696906244609005
2021-03-01,6.396050829416582
2021-04-01,4.810082599209265
2021-05-01,5.416370962873985
2021-06-01,6.160484196734675
2021-07-01,4.797322898145153
2021-08-01,3.590970999047295
2021-09-01,4.047389156077726
2021-10-01,4.451957500581919
2021-11-01,5.285558943397894
2021-12-01,6.02649239805671
2022-01-01,5.208129198528108
2022-02-01,8.88301874884591
2022-03-01,9.328807364563039
2022-04-01,7.263772890339318
2022-05-01,8.478138567889415
2022-06-01,9.178866187286713
2022-07-01,10.545508273015614
2022-08-01,8.802483923153664
2022-09-01,10.409151407434798
2022-10-01,12.399762600972483
2022-11-01,15.83789622662805
2022-12-01,10.559657770697294
2023-01-01,8.851043857191463
2023-02-01,8.945693055549008
2023-03-01,9.969127729145745
2023-04-01,8.410895563118954
2023-05-01,5.785783865688056
2023-06-01,6.441415122148169
2023-07-01,7.651621590535143
2023-08-01,6.971792984183678
2023-09-01,5.695678964061209
2023-10-01,6.306533608486987
2023-11-01,7.696547673987582
2023-12-01,6.714061545218517
2024-01-01,6.343530883306261
2024-02-01,6.226674066988773
2024-03-01,4.200517826192678
2024-04-01,6.570915448502652
2024-05-01,4.4661152018548655
2024-06-01,5.935037504938634
2024-07-01,4.577598672675083
2024-08-01,5.868619657513301
2024-09-01,4.831863086182234
2024-10-01,5.17822017760079
2024-11-01,9.067999360036206
2024-12-01,6.982504196462908
2025-01-01,8.523248499877926
2025-02-01,8.958691141446732
2025-03-01,7.929733825235029
2025-04-01,12.402027376283609
2025-05-01,9.408614460255759
2025-06-01,7.954685273987165
2025-07-01,7.196722837937168
2025-08-01,8.350794808826262
2025-09-01,6.229721017144677
2025-10-01,5.059114081772164
2025-11-01,4.608124199427571
2025-12-01,4.772670009105459
2026-01-01,4.903562842860003
2026-02-01,6.435867187219716
2026-03-01,6.615932922099566
