date,interest_rate,hicp,trade_goods,inflation_gap,output_gap,ca_gap,ca_nowcast,ca_actual,ca_lagged,ca_gap_nowcast,ca_gap_lagged,info_gap,i_counterfactual,policy_diff_bp
2009-07-01,0.9749565,-0.8,-319.0,-2.8,92.68263083741438,1.5105566666512866,-2981.7346686903948,-319.0,-3216.0,-0.1579231453451567,-0.30471470545005835,0.14679156010490166,0.9737849363360794,-0.11715636639205718
2009-08-01,0.8604762,-0.2,-3460.0,-2.2,20.51934357179829,-0.4333537389293636,-1656.6371057808337,-3460.0,-1745.0,0.714287834956821,0.6580545990705409,0.05623323588628015,0.860027394797426,-0.04488052025740652
2009-09-01,0.7720909,-0.4,-2691.0,-2.4,37.09642643382248,0.07650811574939818,-3091.6542246064337,-2691.0,-2537.0,-0.18181491597289204,0.17580008490726978,-0.35761500088016185,0.7749450745888165,0.2854174588816427
2009-10-01,0.7375,-0.2,-2868.0,-2.2,31.989581199304062,-0.019686839437303344,-2599.2001835833353,-2868.0,-319.0,0.15529013211219506,1.6396011260631145,-1.4843109939509194,0.7493464905286654,1.1846490528665377
2009-11-01,0.7161905,0.5,-5123.0,-1.5,-18.605586174003143,-1.4448075520360313,-3371.7429183836375,-5123.0,-3460.0,-0.29662813575915936,-0.35449226410440976,0.0578641283452504,0.7157286784200312,-0.04618215799687686
2009-12-01,0.7120455,1.0,-3689.0,-1.0,14.459102825856403,-0.4831641736824668,-3686.6122151562927,-3689.0,-2691.0,-0.4815894357426377,0.17501438262193733,-0.656603818364575,0.7172859455313215,0.5240445531321525
2010-01-01,0.67975,1.2,-4095.0,-0.8,5.518090740753075,-0.7267239361432517,-3191.910495631273,-4095.0,-2868.0,-0.11387754354541368,0.10593165362901688,-0.21980919717443057,0.6815043274846393,0.17543274846393286
2010-02-01,0.6617,1.4,-2769.0,-0.6000000000000001,34.965097573690926,0.19250827890310232,-3495.8252260813683,-2769.0,-5123.0,-0.30676848935375073,-1.4245207818909895,1.1177522925372387,0.6527790649662368,-0.8920935033763122
2010-03-01,0.6449565,1.7,-3971.0,-0.30000000000000004,7.0034146808212805,-0.6151127746432301,-2579.213433062425,-3971.0,-3689.0,0.33897734131417406,-0.42179763665907877,0.7607749779732529,0.6388846500927132,-0.6071849907286819
2010-04-01,0.6447,1.9,-3236.0,-0.10000000000000009,23.44861747282059,-0.10302018447254488,-3025.164227005963,-3236.0,-4095.0,0.041688076963520365,-0.6925994332120003,0.7342875101755207,0.63883955022225,-0.5860449777750021
2010-05-01,0.6865238,1.9,-5291.0,-0.10000000000000009,-22.104214519689975,-1.4592045611160116,-2158.5301701200015,-5291.0,-2769.0,0.6773937488818557,0.26100384625864165,0.416389902623214,0.6832005348232544,-0.3323265176745638
2010-06-01,0.7275909,1.7,-2537.0,-0.30000000000000004,40.09322177947896,0.4539936791335065,-3212.6255863075075,-2537.0,-3971.0,-0.019259020788610373,-0.5504744548199081,0.5312154340312977,0.7233511964381596,-0.42397035618404466
2010-07-01,0.8488182,1.9,-1903.0,-0.10000000000000009,53.51636039864312,0.914472680350249,-1794.9018163572396,-1903.0,-3236.0,0.9908979848904369,-0.027956938606430882,1.0188549234968678,0.8406865784931334,-0.8131621506866527
2010-08-01,0.8955,1.6,-5459.0,-0.3999999999999999,-29.529085489104734,-1.5381714533112107,-2409.728858782131,-5459.0,-5291.0,0.5938539656887544,-1.4207072296639172,2.0145611953526714,0.8794215095640857,-1.607849043591425
2010-09-01,0.8805,1.8,-4886.0,-0.19999999999999996,-13.967311288635864,-1.0999361871877043,-3350.646476075518,-4886.0,-2537.0,-0.028027603900840154,0.5400204895844829,-0.568048093485323,0.8850336700911903,0.45336700911903227
2010-10-01,0.9976667,1.8,-3232.0,-0.19999999999999996,23.721448989364912,0.07834674470045956,-3264.49861246679,-3232.0,-1903.0,0.05527224778570655,1.0219564605546454,-0.9666842127689388,1.0053819398772548,0.7715239877254754
2010-11-01,1.0420455,1.8,-6001.0,-0.19999999999999996,-36.76436707868744,-1.7995159445464999,-3923.914535312546,-6001.0,-5459.0,-0.3622653726100366,-1.4244761008223439,1.0622107282123072,1.0335678498427918,-0.8477650157208139
2010-12-01,1.0216957,2.0,-4808.0,0.0,-8.15135336873662,-0.9420465618203316,-4635.785259493371,-4808.0,-4886.0,-0.8227998159441624,-0.9960561449384433,0.1732563289942809,1.0203129173696572,-0.13827826303427493
2011-01-01,1.0172381,2.0,-6812.0,0.0,-46.66436197219647,-2.195400749758212,-3783.8866857358225,-6812.0,-3232.0,-0.17217466088074274,0.19656700285904416,-0.3687416637397869,1.0201810780179625,0.29429780179626164
2011-02-01,1.08675,1.8,-5522.0,-0.19999999999999996,-16.447771553452135,-1.2902869050427408,-5105.380417345223,-5522.0,-6001.0,-1.0116681663921447,-1.6106232073740854,0.5989550409819406,1.081969657302947,-0.4780342697053186
2011-03-01,1.1755217,2.2,-5546.0,0.20000000000000018,-14.671474349798252,-1.2693370461901925,-4832.0863224804225,-5546.0,-4808.0,-0.7873296733340054,-0.7710675041015366,-0.016262169232468815,1.1756514906130002,0.012979061300022465
2011-04-01,1.3212105,2.2,-5887.0,0.20000000000000018,-18.91801419451637,-1.4440201364494474,-5244.986061076176,-5887.0,-6812.0,-1.0146565125133484,-2.0626380971746308,1.0479815846612823,1.312846414597749,-0.8364085402251087
2011-05-01,1.4250909,2.2,-6714.0,0.20000000000000018,-31.176665026929022,-1.9021440308203623,-5537.373224295026,-6714.0,-5522.0,-1.133343974860056,-1.1232992130362978,-0.010044761823758241,1.425171068627931,0.008016862793103208
2011-06-01,1.4885909,2.3,-4977.0,0.2999999999999998,3.419059220396231,-0.7410173603435971,-5420.4455656136315,-4977.0,-5546.0,-1.0363244640260036,-1.119935890514973,0.08361142648896935,1.4879235856864723,-0.06673143135276227
2011-07-01,1.597619,2.1,-4760.0,0.10000000000000009,7.9255202750349945,-0.575609374794255,-4634.200084795868,-4760.0,-5887.0,-0.4917101363112397,-1.3272350185624806,0.8355248822512409,1.590950560808758,-0.6668439191241937
2011-08-01,1.552087,2.4,-5432.0,0.3999999999999999,-3.8141854638911425,-1.0000236461474554,-5516.167311047123,-5432.0,-6714.0,-1.0556774856255948,-1.8477187968095605,0.7920413111839657,1.5457656091799554,-0.632139082004457
2011-09-01,1.5364545,2.4,-5694.0,0.3999999999999999,-7.233827916762797,-1.150208763271499,-5149.067891866653,-5694.0,-4977.0,-0.7797911473095712,-0.6628279926852239,-0.11696315462434737,1.5373879990504733,0.0933499050473241
2011-10-01,1.5758571,2.5,-5669.0,0.5,-5.352566459275574,-1.1022757613522873,-4838.245359443652,-5669.0,-4760.0,-0.5291530045339791,-0.4751729314981494,-0.05398007303582969,1.5762879223994577,0.043082239945779754
2011-11-01,1.4846818,2.7,-3857.0,0.7000000000000002,27.46112907913884,0.17324178110399238,-5731.884576454794,-3857.0,-5432.0,-1.1449804378419555,-0.9341330519266425,-0.21084738591531293,1.4863646020343573,0.16828020343573336
2011-12-01,1.4260952,2.7,-4036.0,0.7000000000000002,23.376694472012378,0.06189837257014038,-4519.839334786286,-4036.0,-5694.0,-0.28063537610764805,-1.111881670778503,0.831246294670855,1.4194609088056762,-0.6634291194323794
2012-01-01,1.2222273,2.6,-6440.0,0.6000000000000001,-19.4609730656551,-1.5778885504780622,-4750.166232290565,-6440.0,-5669.0,-0.39264100674812535,-1.0371100001490736,0.6444689934009482,1.217083704178466,-0.5143595821534008
2012-02-01,1.0482857,2.5,-5596.0,0.5,-2.732266496298231,-0.9556233917177999,-5073.390459135917,-5596.0,-3857.0,-0.5911812231872958,0.25706960817900226,-0.8482508313662981,1.0550557067443183,0.6770006744318158
2012-03-01,0.8584545,2.6,-3954.0,0.6000000000000001,26.527365630186416,0.23040780204722483,-4947.026592887773,-3954.0,-4036.0,-0.4900171293913558,0.17091811199382265,-0.6609352413851785,0.8637295152151669,0.5275015215166934
2012-04-01,0.7443158,2.4,-5659.0,0.3999999999999999,-4.022859806728449,-0.973939247420864,-4853.2315889696765,-5659.0,-6440.0,-0.39125674822028805,-1.5387107459849523,1.1474539977646643,0.7351578115649646,-0.9157988435035347
2012-05-01,0.6849091,2.3,-4736.0,0.2999999999999998,12.752327178740416,-0.2957811650792371,-5646.062611034424,-4736.0,-5596.0,-0.9540420762462034,-0.9178310952162838,-0.0362109810299196,0.6851981048282018,0.028900482820171103
2012-06-01,0.6588571,2.3,-4492.0,0.2999999999999998,16.782327390592968,-0.11429707197022387,-4272.292235920664,-4492.0,-3954.0,0.04464789740152038,0.2749126307758233,-0.23026473337430292,0.6606948745594563,0.18377745594563288
2012-07-01,0.4970455,2.2,-3652.0,0.20000000000000018,31.182269764454336,0.47849145138299926,-4465.625080545825,-3652.0,-5659.0,-0.10968380352456379,-0.9723828705102612,0.8626990669856974,0.4901601798967437,-0.6885320103256265
2012-08-01,0.3323913,2.4,-5018.0,0.3999999999999999,5.614973444365537,-0.4965351582163114,-4052.8319970594266,-5018.0,-4736.0,0.19991083312423172,-0.29304957983524577,0.49296041295947746,0.32845691503153257,-0.39343849684674304
2012-09-01,0.2463,2.2,-3455.0,0.20000000000000018,33.70659330288198,0.6167104233630307,-4560.969635132736,-3455.0,-4492.0,-0.17882573483177067,-0.12921511546824357,-0.04961061936352709,0.2466959491877419,0.03959491877419119
2012-10-01,0.207913,2.1,-4591.0,0.10000000000000009,11.576608966497345,-0.1946979818214877,-3832.339289799987,-4591.0,-3652.0,0.3509308951174792,0.4806309347581884,-0.1297000396407092,0.20894815388448437,0.10351538844843855
2012-11-01,0.192,1.6,-3574.0,-0.3999999999999999,29.901627474459154,0.5111977689524442,-4183.082016262609,-3574.0,-5018.0,0.059135224079081034,-0.5605434706254884,0.6196786947045694,0.18705425896759464,-0.49457410324053597
2012-12-01,0.1854737,1.5,-3308.0,-0.5,33.69087102537205,0.682444384927278,-3481.536353917767,-3308.0,-3455.0,0.5522526519145243,0.5721609526249177,-0.0199083007103934,0.18563259089063452,0.01588908906345332
2013-01-01,0.2049091,1.4,-6131.0,-0.6000000000000001,-20.549195670129393,-1.398314986702468,-4191.447491505157,-6131.0,-4591.0,0.034967733983987434,-0.2602919737770904,0.29525970776107785,0.20255259159593722,-0.23565084040627904
2013-02-01,0.22335,1.2,-3121.0,-0.8,37.092279303726,0.8476886166714818,-4954.0172572586525,-3121.0,-3574.0,-0.524445783433109,0.508588218183537,-1.0330340016166462,0.23159478668271966,0.8244786682719663
2013-03-01,0.20605,1.1,-1335.0,-0.8999999999999999,71.66254335310278,2.094500615510367,-3386.840701335048,-1335.0,-3308.0,0.6073538147548249,0.6644965046347638,-0.05714268987993898,0.20650606368018828,0.04560636801882734
2013-04-01,0.2089048,0.8,-2634.0,-1.2,42.32232780302306,1.1472347606619226,-3563.2769858176043,-2634.0,-6131.0,0.47558475497034175,-1.380278680302143,1.8558634352724848,0.19409289825026538,-1.4811901749734624
2013-05-01,0.2012273,0.9,-4432.0,-1.1,2.7180064336404364,-0.15503382504182922,-3118.24453289946,-4432.0,-3121.0,0.7950977347038338,0.7931049313854576,0.0019928033183762572,0.2012113951621777,-0.0015904837822294793
2013-06-01,0.21025,1.0,-2578.0,-1.0,41.552984772548285,1.1479572832832536,-3321.271459501353,-2578.0,-1335.0,0.6159102142029307,2.037719025167832,-1.4218088109649012,0.22159765199564752,1.1347651995647523
2013-07-01,0.2214348,1.2,-4291.0,-0.8,2.3822736601750347,-0.07485717405429315,-2897.9243781171494,-4291.0,-2634.0,0.9224176525360178,1.1113558080096861,-0.18893815547366832,0.22294274144787984,0.1507941447879857
2013-08-01,0.2258636,1.0,-3396.0,-1.0,21.32029704708703,0.5447259284629752,-4105.978624460381,-3396.0,-4432.0,0.03495822365760928,-0.1991265258376989,0.2340847494953082,0.2239953373656178,-0.1868262634382195
2013-09-01,0.2232381,1.0,-5090.0,-1.0,-16.680894671215135,-0.66277924175704,-3115.86748565327,-5090.0,-2578.0,0.7501694648722592,1.1351381348697636,-0.38496866999750434,0.22631058799041714,0.307248799041715
2013-10-01,0.2258261,0.7,-3475.0,-1.3,19.002955267166655,0.47653139460566035,-4312.635655438888,-3475.0,-4291.0,-0.12316765454760367,-0.10767776712740826,-0.015489887420195414,0.22594972692546325,0.012362692546324938
2013-11-01,0.223381,0.8,-3206.0,-1.2,23.706244020254733,0.6446402605302893,-3540.1346237373536,-3206.0,-3396.0,0.4042422352650582,0.5079419913636429,-0.10369975609858473,0.22420864203960844,0.0827642039608445
2013-12-01,0.2735,0.8,-3343.0,-1.2,19.01112156544955,0.56758869015211,-3723.500282754058,-3343.0,-5090.0,0.29004881104621144,-0.7066867607209144,0.9967355717671258,0.2655449160865586,-0.7955083913441408
2014-01-01,0.2920455,0.8,-7028.0,-1.2,-62.61819485348536,-2.0097074411106126,-3989.596741084963,-7028.0,-3475.0,0.1281537432304283,0.49023089538384196,-0.36207715215341363,0.29493528763285604,0.28897876328560224
2014-02-01,0.2881,1.1,-2506.0,-0.8999999999999999,40.086180905784765,1.1510980701628186,-4831.620017712452,-2506.0,-3206.0,-0.47055004884764434,0.6629900932117606,-1.133540142059405,0.2971469400358109,0.9046940035810858
2014-03-01,0.3053333,0.8,-3014.0,-1.2,26.251375863797104,0.7864815218062303,-2506.040381606907,-3014.0,-3343.0,1.1392053217849307,0.5580260983160474,0.5811792234688833,0.3006948285514021,-0.46384714485978584
2014-04-01,0.32975,0.8,-3587.0,-1.2,11.128159437326868,0.3937821225164035,-4116.236053059764,-3587.0,-7028.0,0.025447558578515394,-2.0010646154951326,2.026512174073648,0.3135761271564883,-1.6173872843511683
2014-05-01,0.3245714,0.8,-3616.0,-1.2,9.368284126593785,0.40465825967393665,-3557.1301669203444,-3616.0,-2506.0,0.4465999206065266,1.1954748952357106,-0.7488749746291841,0.3305482743411952,0.5976874341195204
2014-06-01,0.2414286,0.6,-3689.0,-1.4,6.630859440099808,0.370315909125848,-3093.04546095403,-3689.0,-3014.0,0.7995236117362532,0.8564523176256149,-0.05692870588936172,0.24188295584447997,0.04543558444799756
2014-07-01,0.2050435,0.6,-3798.0,-1.4,3.1645746979973994,0.3582393074000208,-3738.555442299238,-3798.0,-3587.0,0.40421709219504326,0.5214386468347904,-0.1172215546397471,0.20597906137659458,0.09355613765945903
2014-08-01,0.1915714,0.5,-4441.0,-1.5,-12.678772740102698,-0.12685020509007966,-3536.3365005562296,-4441.0,-3616.0,0.5750974991503272,0.5132848908285208,0.06181260832180635,0.19107806505737637,-0.049333494262363
2014-09-01,0.0970909,0.4,-3553.0,-1.6,8.810797616957062,0.5792702800502291,-4100.494756651871,-3553.0,-3689.0,0.15004495229233542,0.47264890390193354,-0.3226039516095981,0.0996656465812946,0.25747465812946124
2014-10-01,0.0826087,0.5,-2749.0,-1.5,27.577197901425375,1.2058219991545258,-3443.004294076608,-2749.0,-3798.0,0.6627331260893411,0.3849333777975676,0.2777997482917735,0.08039154193783116,-0.22171580621688364
2014-11-01,0.0809,0.4,-1557.0,-1.6,56.90984280415158,2.024297066739172,-3108.363085550046,-1557.0,-4441.0,0.849635051700093,-0.15941175356846962,1.0090468052685626,0.0728466584359279,-0.8053341564072101
2014-12-01,0.0809048,0.1,-3128.0,-1.9,11.972796432248991,0.8240235087971656,-2304.0307314024826,-3128.0,-3553.0,1.445155790232452,0.5036460033551304,0.9415097868773217,0.0733904806839384,-0.75143193160616
2015-01-01,0.0626667,-0.4,-3569.0,-2.4,-1.1784527853437987,0.4840336364044297,-3403.449723166181,-3569.0,-2749.0,0.6085877714758687,1.1009724448050509,-0.4923846733291821,0.06659648991116134,0.392978991116133
2015-02-01,0.0482,-0.3,-2099.0,-2.3,38.21077325284085,1.5638871288404537,-2218.5604397766756,-2099.0,-1557.0,1.4749419699602715,1.9670997380679305,-0.492157768107659,0.05212797894932878,0.3927978949328781
2015-03-01,0.0271818,0.0,-3306.0,-2.0,1.6193038753477356,0.6554387012577358,-2271.5716858026335,-3306.0,-3128.0,1.4223251979594635,0.7874012499965324,0.6349239479629312,0.022114384501079005,-0.5067415498920993
2015-04-01,0.0047,0.1,-2011.0,-1.9,37.780562841319835,1.5726787426649345,-2738.319988400192,-2011.0,-3569.0,1.0427998736480337,0.4376194949520231,0.6051803786960106,-0.00013002797498210504,-0.4830027974982105
2015-05-01,-0.0103684,0.3,-3042.0,-1.7,4.487362542071192,0.794500188756662,-1935.5298834327143,-3042.0,-2099.0,1.6008574789219487,1.4817260915036474,0.11913138741830132,-0.011319204015108131,-0.09508040151081312
2015-06-01,-0.0139091,0.3,-339.0,-1.7,88.46322165762416,2.603294319622041,-2678.5753373549496,-339.0,-3306.0,0.9819725851905305,0.5471683593318409,0.4348042258586896,-0.017379332427335227,-0.34702324273352264
2015-07-01,-0.0187391,0.2,-1739.0,-1.8,38.275465868038985,1.626274959925055,-1430.3134149344953,-1739.0,-2011.0,1.839548032253207,1.4383488308757884,0.4011992013774186,-0.02194112609735765,-0.320202609735765
2015-08-01,-0.0276667,0.1,-2713.0,-1.9,1.920319513421839,0.9220420261453794,-2187.1670910703797,-2713.0,-3042.0,1.2854721710271784,0.6946532205174769,0.5908189505097015,-0.03238210743812658,-0.4715407438126578
2015-09-01,-0.0370455,0.1,-2748.0,-1.9,-1.0143629182087575,0.8700329714905741,-1743.9832512867204,-2748.0,-339.0,1.5614249536564795,2.5289328716470636,-0.9675079179905841,-0.029323686017893744,0.7721813982106258
2015-10-01,-0.0535909,0.2,-2966.0,-1.8,-10.10616735601539,0.7154686628027845,-2001.7895224484175,-2966.0,-1739.0,1.3781606724284285,1.5587732260825826,-0.18061255365415407,-0.052149406327217325,0.1441493672782672
2015-11-01,-0.087619,0.1,-2944.0,-1.9,-10.340257565390216,0.7040837907093027,-1981.1056746360543,-2944.0,-2713.0,1.3739699501106297,0.8647906295638393,0.5091793205467904,-0.09168283030431781,-0.40638303043178114
2015-12-01,-0.1263182,0.3,-1387.0,-1.7,45.227061425660054,1.7082831729862875,-2352.534836447521,-1387.0,-2748.0,1.0516808539198745,0.7827487199812129,0.26893213393866167,-0.12846458441037073,-0.21463844103707386
2016-01-01,-0.14615,0.3,-4370.0,-1.7,-66.82672600235655,-0.3599512573254461,-1941.1371928623873,-4370.0,-2966.0,1.348724094698667,0.627745613379865,0.7209784813188019,-0.15190422858492766,-0.5754228584927662
2016-02-01,-0.1835714,-0.1,-4576.0,-2.1,-68.3106558032264,-0.5209396426593498,-2385.9573572803047,-4576.0,-2944.0,1.0345937376698284,0.6382297848994439,0.3963639527703845,-0.18673483531209742,-0.31634353120974235
2016-03-01,-0.2285238,-0.1,-3954.0,-2.1,-42.68567649241446,-0.0992460946127138,-2727.544844579215,-3954.0,-1387.0,0.7830024036055883,1.7473211320912079,-0.9643187284856196,-0.2208274393786912,0.7696360621308795
